kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
250000,Prov. Papua,251800,Kab. Tolikara,251831,Kec. Gilungbandu,60303704,SMP SATAP KAGI,SMP,N,Gilubandu,-3.415995,138.339704
250000,Prov. Papua,251800,Kab. Tolikara,251822,Kec. Wunin,60302267,SD YPPGI WURINERI,SD,S,Wunin,-3.479,138.68
250000,Prov. Papua,251800,Kab. Tolikara,251803,Kec. Bokondini,60302279,SMAN BOKONDINI,SMA,N,MAIRINI,-3.5317307,138.6582341
250000,Prov. Papua,251800,Kab. Tolikara,251814,Kec. Kuari,60302215,SD INPRES KUARI,SD,N,Kuari,-3.5181,138.5295
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260221,Kec. Curup Selatan,10700784,SD NEGERI 17 REJANG LEBONG,SD,N,Jln. Sapta Marga,-3.4269,102.5855
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260203,Kec. Padang Ulang Tanding,10700707,SD NEGERI 82 REJANG LEBONG,SD,N,Tanjung Sanai,-3.4163,102.711
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260211,Kec. Bermani Ulu,10700632,SMP NEGERI 22 REJANG LEBONG,SMP,N,Jl. Baru Manis,-3.4256,102.4464
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260203,Kec. Padang Ulang Tanding,69888396,SMP NEGERI 42 REJANG LEBONG,SMP,N,Desa Air Kati,-3.369608,102.799372
270000,Prov. Maluku Utara,270100,KAB. PULAU TALIABU,270102,Kec. Taliabu Barat Laut,60200561,SD NEGERI SALATI,SD,N,Jl. Taman Siswa,-1.8248,124.4507
270000,Prov. Maluku Utara,270100,KAB. PULAU TALIABU,270103,Kec. Lede,60202280,SMP NEGERI 1 LEDE,SMP,N,Jl. Kebun Cengkeh,-1.7009,124.3871
270000,Prov. Maluku Utara,270100,KAB. PULAU TALIABU,270102,Kec. Taliabu Barat Laut,60202511,SMP NEGERI 1 TALIABU BARAT LAUT,SMP,N,Jl. Taman Siswa No. 04 Salati,-1.7641,124.4501
270000,Prov. Maluku Utara,270100,KAB. PULAU TALIABU,270107,Kec. Taliabu Selatan,60205566,SD NEGERI WAYOKODING,SD,N,Jl. Taman Siswa,-1.7745,124.5764
280000,Prov. Banten,280100,Kab. Pandeglang,280117,Kec. Banjar,20600320,SD N KADUMANEUH,SD,N,Kp. Rancapiit,-6.3783,106.075
280000,Prov. Banten,280100,Kab. Pandeglang,280139,Kec. Majasari,69921487,SMPS IT Irsyadul Ibad,SMP,S,Jl. Raya Labuan KM. 04 Maja Barat,-6.3277317,106.0880933
280000,Prov. Banten,280100,Kab. Pandeglang,280103,Kec. Cibaliung,20600621,SD N SUKAJADI 03,SD,N,Kp Babakan Kembang,-6.7266,105.6983
280000,Prov. Banten,280100,Kab. Pandeglang,280113,Kec. Jiput,20601183,SD N JIPUT 04,SD,N,Kp. Paniis,-6.3486,105.8673
290000,Prov. Bangka Belitung,290500,Kab. Bangka Selatan,290502,Kec. Simpang Rimba,10901478,SMP NEGERI 3 SIMPANG RIMBA,SMP,N,JI.DESA SEBAGIN,-2.5939,105.9225
290000,Prov. Bangka Belitung,290500,Kab. Bangka Selatan,290506,Kec. Pulau Besar,10900938,SD NEGERI 7 PULAU BESAR,SD,N,"JL. Dusun Pasirputih, Desa Batu Betumpang",-2.7695,106.1603
290000,Prov. Bangka Belitung,290500,Kab. Bangka Selatan,290503,Kec. Toboali,10901412,SMAN 2 TOBOALI,SMA,N,JL. KIHAJAR DEWANTARA RIAS,-2.934363,106.414284
290000,Prov. Bangka Belitung,290500,Kab. Bangka Selatan,290501,Kec. Payung,10900925,SD NEGERI 2 PAYUNG,SD,N,Jl. Olahraga,-2.6045,106.1403
300000,Prov. Gorontalo,300100,Kab. Boalemo,300108,Kec. Dulupi,69754632,SMP NEGERI 9 SATU ATAP DULUPI,SMP,N,Desa Tabongo,0.5368733,122.4615
300000,Prov. Gorontalo,300100,Kab. Boalemo,300109,Kec. Wonosari,69945627,SMP NEGERI 12 WONOSARI,SMP,N,Jalan SP. 1,0.779314,122.307169
300000,Prov. Gorontalo,300100,Kab. Boalemo,300107,Kec. Mananggu,40500164,SMKN 1 MANANGGU,SMK,N,JLN. AKSES ETALASE PERIKANAN,0.4876283,122.1465017
