kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,20500,Kab. Bogor,20517,Kec. Jonggol,20201495,SD N JONGGOL 06,SD,N,Kp. Galang,-6.463,107.0782
20000,Prov. Jawa Barat,21500,Kab. Kuningan,21520,Kec. Pancalang,20252161,SMK NEGERI 6 KUNINGAN,SMK,N,JL. RAYA SINDANGKEMPENG,-6.8063,108.5004
20000,Prov. Jawa Barat,26000,Kota Bandung,26018,Kec. Andir,20219768,SMAS PAJAJARAN,SMA,S,JL. MALEBER UTARA NO. 37,-6.920902,107.599795
20000,Prov. Jawa Barat,22200,Kab. Bekasi,22222,Kec. Cikarang Timur,20218983,SD NEGERI JATIREJA 03,SD,N,Kp. Citarik,-6.2731,107.1964
20000,Prov. Jawa Barat,21100,Kab. Garut,21143,Kec. Pangatikan,20209363,SMP NEGERI 1 PANGATIKAN,SMP,N,Jln. Cibeureum,-7.1521,107.9898
20000,Prov. Jawa Barat,26900,Kota Banjar,26903,Kec. Pataruman,20225164,SD NEGERI I BATULAWANG,SD,N,Jalan Cimanggu,-7.4155,108.5682
20000,Prov. Jawa Barat,21000,Kab. Sumedang,21013,Kec. Ujungjaya,20208338,SD NEGERI UJUNGJAYA II,SD,N,Dusun Cilega,-6.7013,108.0941
20000,Prov. Jawa Barat,21100,Kab. Garut,21114,Kec. Cilawu,20262021,SMP NEGERI 4 CILAWU,SMP,N,Jl. Cinyawar,-7.3301,107.9259
20000,Prov. Jawa Barat,20500,Kab. Bogor,20509,Kec. Caringin,20201803,SD N CINAGARA 03,SD,N,Kp. Cisalopa  Jl. Snakma,-6.7445,106.8357
20000,Prov. Jawa Barat,21400,Kab. Ciamis,21434,Kec. Baregbeg,20212297,SDN 1 SAGULING,SD,N,Jl. Saguling No. 66 RT. 02 RW. 01 Dusun Desa,-7.2996,108.3556
20000,Prov. Jawa Barat,22100,Kab. Karawang,22112,Kec. Rawamerta,20236550,SDN MEKARJAYA II,SD,N,Dusun Tegalpanjang RT /RW 05/02,-6.2251,107.3114
20000,Prov. Jawa Barat,20500,Kab. Bogor,20523,Kec. Kemang,20231356,SMAS SMART EKSELENSIA INDONESIA,SMA,S,JL. PARUNG BOGOR DS. JAMPANG,-6.4735,106.7295
20000,Prov. Jawa Barat,21800,Kab. Indramayu,21811,Kec. Juntinyuat,20216079,SMP NEGERI 1 JUNTINYUAT,SMP,N,Jl. Raya Juntinyuat,-6.4445,108.4478
20000,Prov. Jawa Barat,21200,Kab. Tasikmalaya,21215,Kec. Cineam,20210179,SDN RAHAYU,SD,N,Jl. Ciampanan Rt.06 Rw.06 Dusun Ciampanan,-7.3951,108.3864
20000,Prov. Jawa Barat,21600,Kab. Majalengka,21612,Kec. Leuwimunding,20246067,SD NEGERI LEUWIMUNDING I,SD,N,Jalan Raya Leuwimunding,-6.7414,108.3454
20000,Prov. Jawa Barat,21500,Kab. Kuningan,21514,Kec. Cigugur,20213200,SD YOS SUDARSO CISANTANA,SD,S,Jln. Gereja No.302,-6.95953,108.4524083
