kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
60000,Prov. Aceh,61200,Kab. Bireuen,61213,Kec. Kota Juang,10106847,SD NEGERI 18 BIREUEN,SD,N,Jl. Pendidikan Bireuen Meunasah Blang,5.2017,96.872
60000,Prov. Aceh,60200,Kab. Pidie,60221,Kec. Pidie,10100853,SD NEGERI DAYAH TEUNGOH,SD,N,Jalan Prof A Majid Ibrahim Km 115,5.3561,95.9424
60000,Prov. Aceh,60300,Kab. Aceh Utara,60303,Kec. Kuta Makmur,10105938,SD NEGERI 17 KUTA MAKMUR,SD,N,Alue Rambe,5.0689,97.0669
60000,Prov. Aceh,60100,Kab. Aceh Besar,60123,Kec. Blang Bintang,10100307,SD NEGERI COT BUKET,SD,N,Jl Desa Cot Leuot,5.4958,95.4192
60000,Prov. Aceh,61400,Kab. Aceh Tamiang,61402,Kec. Kejuruan Muda,10104264,SMP SWASTA AL WASHLIYAH SEUMADAM,SMP,S,Jl. Pulau Tiga - Seumadam,4.2213,97.9988
60000,Prov. Aceh,60300,Kab. Aceh Utara,60322,Kec. Dewantara,10101312,SMA NEGERI 2 DEWANTARA,SMA,N,JL. MASJID JABAL NUR BTN ARON PALOH LADA,5.2488,97.0073
60000,Prov. Aceh,61500,Kab. Nagan Raya,61507,Kec. Tadu Raya,10104664,SD NEGERI KRUENG BULOH RAYEUK,SD,N,Desa Simpang Jaya,4.0515,96.4864
60000,Prov. Aceh,60400,Kab. Aceh Timur,60419,Kec. Sungai Raya,10102113,SDN 2 SUNGAI RAYA,SD,N,Sungai Raya,4.6704,97.9207
220000,Prov. Bali,220200,Kab. Jembrana,220201,Kec. Melaya,50100972,SD NEGERI 2 MANISTUTU,SD,N,Banjar Kemoning,-8.2861267,114.5833983
220000,Prov. Bali,220300,Kab. Tabanan,220304,Kec. Kediri,50101475,SD NEGERI 2 BENGKEL,SD,N,Dusun Buduk,-8.5263,115.152
220000,Prov. Bali,226000,Kota Denpasar,226002,Kec. Denpasar Timur,50103133,SMP NEGERI 8 DENPASAR,SMP,N,Jalan Meduri Denpasar Timur,-8.644587,115.2344
220000,Prov. Bali,220500,Kab. Gianyar,220504,Kec. Tampak siring,50102172,SD NEGERI 1 PEJENG KAJA,SD,N,Br. Belusung,-8.4737,115.2938
220000,Prov. Bali,220400,Kab. Badung,220405,Kec. Abiansemal,50101795,SD NEGERI 1 SEDANG,SD,N,Jlan Kamboja Br Sigaran,-8.548,115.2005
220000,Prov. Bali,220300,Kab. Tabanan,220310,Kec. Selemadeg Timur,50101136,SMP NEGERI 1 SELEMADEG TIMUR,SMP,N,Jl. Kahyangan Bunutpuhun,-8.5037,115.0614
220000,Prov. Bali,220100,Kab. Buleleng,220102,Kec. Seririt,50100273,SMP PGRI SERIRIT,SMP,S,Jl Diponegoro No 104 Seririt,-8.2007,114.9133
220000,Prov. Bali,220100,Kab. Buleleng,220107,Kec. Sawan,50100173,SD NEGERI 2 LEMUKIH,SD,N,Banjar Dinas Buah Banjah,-8.2081,115.2012
290000,Prov. Bangka Belitung,290400,Kab. Bangka Barat,290401,Kec. Kelapa,10900611,SMP Negeri 1 Kelapa,SMP,N,Jl. Pusuk No. 6 Kelapa,-1.8753,105.6755
290000,Prov. Bangka Belitung,290100,Kab. Bangka,290109,Kec. Sungailiat,10900257,SD N 10 SUNGAILIAT,SD,N,Jl. Singayudha II,-1.8866,106.1077
290000,Prov. Bangka Belitung,290600,Kab. Belitung Timur,290607,Kec. Simpang Pesak,10900959,SD NEGERI 5 SIMPANG PESAK,SD,N,Dusun Air Lanun,-3.237185,107.97447
290000,Prov. Bangka Belitung,290100,Kab. Bangka,290113,Kec. Belinyu,10900323,SD N 27 BELINYU,SD,N,Jl. Dusun Gedong,-1.766472,105.8454949
290000,Prov. Bangka Belitung,290200,Kab. Belitung,290206,Kec. Tanjung Pandan,10900379,SD NEGERI 47 TANJUNGPANDAN,SD,N,Dsn Air Mungkui,-2.7830267,107.7339317
290000,Prov. Bangka Belitung,296000,Kota Pangkalpinang,296091,Kec. Gabek,10901184,SD SANTO PAULUS I,SD,S,Jl. BELANAK RAYA,-2.110098,106.1338
290000,Prov. Bangka Belitung,290400,Kab. Bangka Barat,290406,Kec. Parittiga,10900582,SD Negeri 16 Parittiga,SD,N,Sinar Kelabat,-1.5944,105.6127
290000,Prov. Bangka Belitung,290200,Kab. Belitung,290206,Kec. Tanjung Pandan,10900520,SD N 28 TANJUNGPANDAN,SD,N,Jl. Gatot Subroto,-2.733816,107.6451921
280000,Prov. Banten,286200,Kota Serang,286206,Kec. Walantaka,20605986,SD NEGERI CIGOONG 2,SD,N,Jl. Cilingsir Rt.10/02 No.184,-6.1591,106.2075
280000,Prov. Banten,280300,Kab. Tangerang,280305,Kec. Curug,20616536,SDS ISLAM AS SALAM II,SD,S,Jl. Pasirandu,-6.2511,106.5899
280000,Prov. Banten,280400,Kab. Serang,280403,Kec. Ciomas,20605369,SD NEGERI UJUNG TEBU 1,SD,N,Jl.mandalawangi-ciomas km-6. Kp. Ujung Tebu,-6.2573,106.0048
280000,Prov. Banten,286000,Kota Cilegon,286008,Kec. Citangkil,20606275,SD N TEMIANG,SD,N,Link.Temiang RT 10 / 05,-6.0314919,106.018809
280000,Prov. Banten,280400,Kab. Serang,280431,Kec. Binuang,20615736,SMP NUSANTARA BINUANG,SMP,S,Jl Syekh Ciliwulung Km 03 Jati Gede,-6.1131,106.3511
280000,Prov. Banten,280100,Kab. Pandeglang,280110,Kec. Saketi,20600388,SD N MEDALSARI 2,SD,N,Kp. Kadulaka,-6.4212,105.9467
280000,Prov. Banten,286100,Kota Tangerang,286112,Kec. Periuk,20607025,SDFELLYCIA,SD,S,Jl. Anggrek Kav 20 Villa Tangerang Regency,-6.1699,106.5936
280000,Prov. Banten,280400,Kab. Serang,280411,Kec. Kopo,20616242,SMKS PUTRA TAMA MANDIRI,SMK,S,JL. CIKANDE-KOPO KM.12 KP. PADAHARAN DESA CIDAHU KEC. KOPO,-6.1743,106.2389
260000,Prov. Bengkulu,260400,Kab. Muko-muko,260491,Kec. Ipuh,10701136,SD NEGERI 08 IPUH,SD,N,Desa Manunggal Jaya,-2.6969,101.3376
260000,Prov. Bengkulu,260100,Kab. Bengkulu Utara,260117,Kec. Air Napal,10700320,SD NEGERI 02 AIR NAPAL,SD,N,Ds.pasar Tebat,-3.1115,101.7924
260000,Prov. Bengkulu,266000,Kota Bengkulu,266007,Kec. Ratu Samban,10703074,SD NEGERI 02 KOTA BENGKULU,SD,N,Jl. Fatmawati,-3.8107,102.2681
260000,Prov. Bengkulu,260800,Kab. Seluma,260804,Kec. Semidang Alas Maras,10701604,SD NEGERI 47 SELUMA,SD,N,Desa Talang Beringin,-4.2599,102.7591
260000,Prov. Bengkulu,260300,Kab. Bengkulu Selatan,260315,Kec. Pinoraya,10701077,SD NEGERI 99 BENGKULU SELATAN,SD,N,Jalan Raya  Padang Lagan,-4.3063,102.8814
260000,Prov. Bengkulu,260200,Kab. Rejang Lebong,260204,Kec. Curup,10700781,SD NEGERI 6 REJANG LEBONG,SD,N,Jl. Setia Negara No.34,-3.3093,102.4894
260000,Prov. Bengkulu,260800,Kab. Seluma,260809,Kec. Seluma Selatan,10701729,SD NEGERI 72 SELUMA,SD,N,Sengkuang,-3.9843,102.6087
